env,trial #,success,avg,directory:
"left-centre, straight",1,1,1,openpi-eval/ranking_carrot_pi05
"left-down, straight",2,1,,
"left-up, straight",3,1,,
"left-left, straight",4,1,,
"left-right, straight",5,1,,
TL,6,1,,
BR,7,1,,
TR,8,1,,
TR,9,1,,
BC,10,1,,
TR,11,1,,
CL,12,1,,
TL,13,1,,
TC,14,1,,
BR,15,1,,
BL,16,1,,
CR,17,1,,
CR,18,1,,
CR,19,1,,
CL,20,1,,
TC,21,1,,
CL,22,1,,
CR,23,1,,
BC,24,1,,
BL,25,1,,
CC,26,,,
BC,27,,,
TR,28,,,
BC,29,,,
TL,30,,,
CR,31,,,
CC,32,,,
CC,33,,,
TL,34,,,
BR,35,,,
CR,36,,,
BC,37,,,
CC,38,,,
TC,39,,,
TR,40,,,
BR,41,,,
BL,42,,,
CR,43,,,
BC,44,,,
BL,45,,,
TL,46,,,
CL,47,,,
CR,48,,,
TL,49,,,
BC,50,,,
CR,51,,,
BR,52,,,
BL,53,,,
CL,54,,,
CC,55,,,
TC,56,,,
BR,57,,,
BL,58,,,
BL,59,,,
BL,60,,,
CC,61,,,
BR,62,,,
TC,63,,,
BR,64,,,
TC,65,,,
TC,66,,,
TR,67,,,
TC,68,,,
TL,69,,,
CR,70,,,
CL,71,,,
TR,72,,,
CL,73,,,
CR,74,,,
TC,75,,,
