env,trial #,success,avg,directory:,metric:
"left-centre, straight",1,0,0.06,dppo 2026_05_25_8,0
"left-down, straight",2,0,,,"0.5 - picks up but drops, misses bowl, etc."
"left-up, straight",3,0,,,1
"left-left, straight",4,0,,,
"left-right, straight",5,0,,,
TL,6,0,,,
BR,7,0,,,
TR,8,0,,,
TR,9,0,,,
BC,10,0,,,
TR,11,0,,,
CL,12,0,,,
TL,13,0,,,
TC,14,0,,,
BR,15,0,,,
BL,16,0,,,
CR,17,0,,,
CR,18,0,,,
CR,19,0,,,
CL,20,0,,,
TC,21,1,,,
CL,22,0,,,
CR,23,0,,,
BC,24,0.5,,,
BL,25,0,,,
CC,26,,,,
BC,27,,,,
TR,28,,,,
BC,29,,,,
TL,30,,,,
CR,31,,,,
CC,32,,,,
CC,33,,,,
TL,34,,,,
BR,35,,,,
CR,36,,,,
BC,37,,,,
CC,38,,,,
TC,39,,,,
TR,40,,,,
BR,41,,,,
BL,42,,,,
CR,43,,,,
BC,44,,,,
BL,45,,,,
TL,46,,,,
CL,47,,,,
CR,48,,,,
TL,49,,,,
BC,50,,,,
CR,51,,,,
BR,52,,,,
BL,53,,,,
CL,54,,,,
CC,55,,,,
TC,56,,,,
BR,57,,,,
BL,58,,,,
BL,59,,,,
BL,60,,,,
CC,61,,,,
BR,62,,,,
TC,63,,,,
BR,64,,,,
TC,65,,,,
TC,66,,,,
TR,67,,,,
TC,68,,,,
TL,69,,,,
CR,70,,,,
CL,71,,,,
TR,72,,,,
CL,73,,,,
CR,74,,,,
TC,75,,,,
