env,trial #,success,avg,directory:
"left-centre, straight",1,0,0.4933333333,dppo 2026_05_25_9
"left-down, straight",2,0,,
"left-up, straight",3,1,,
"left-left, straight",4,0,,
"left-right, straight",5,1,,
TL,6,0,,
BR,7,1,,
TR,8,1,,
TR,9,1,,
BC,10,1,,
TR,11,1,,
CL,12,0,,
TL,13,0,,
TC,14,1,,
BR,15,0.5,,
BL,16,0,,
CR,17,1,,
CR,18,1,,
CR,19,1,,
CL,20,0,,
TC,21,0,,
CL,22,0,,
CR,23,1,,
BC,24,0,,
BL,25,0,,
CC,26,0.5,,
BC,27,0,,
TR,28,1,,
BC,29,0,,
TL,30,0,,
CR,31,1,,
CC,32,1,,
CC,33,1,,
TL,34,0,,
BR,35,1,,
CR,36,1,,
BC,37,0.5,,
CC,38,0,,
TC,39,1,,
TR,40,1,,
BR,41,1,,
BL,42,0,,
CR,43,1,,
BC,44,0.5,,
BL,45,0,,
TL,46,0,,
CL,47,0,,
CR,48,1,,
TL,49,0,,
BC,50,0,,
CR,51,1,,
BR,52,1,,
BL,53,0,,
CL,54,0,,
CC,55,1,,
TC,56,0,,
BR,57,0,,
BL,58,0,,
BL,59,0,,
BL,60,0,,
CC,61,0.5,,
BR,62,1,,
TC,63,1,,
BR,64,0.5,,
TC,65,0,,
TC,66,1,,
TR,67,1,,
TC,68,1,,
TL,69,0,,
CR,70,1,,
CL,71,0,,
TR,72,0,,
CL,73,0,,
CR,74,1,,
TC,75,1,,
