env,trial #,success,avg,directory:
"left-centre, straight",1,1,0.4133333333,dppo 2026_05_25_11
"left-down, straight",2,0.5,,
"left-up, straight",3,1,,
"left-left, straight",4,0,,
"left-right, straight",5,1,,
TL,6,0,,
BR,7,0.5,,
TR,8,1,,
TR,9,1,,
BC,10,0.5,,
TR,11,1,,
CL,12,0,,
TL,13,0,,
TC,14,1,,
BR,15,0,,
BL,16,0,,
CR,17,1,,
CR,18,1,,
CR,19,1,,
CL,20,0,,
TC,21,0.5,,
CL,22,0,,
CR,23,1,,
BC,24,0.5,,
BL,25,0,,
CC,26,0.5,,
BC,27,0,,
TR,28,0.5,,
BC,29,0.5,,
TL,30,0,,
CR,31,1,,
CC,32,0.5,,
CC,33,0.5,,
TL,34,0,,
BR,35,0.5,,
CR,36,1,,
BC,37,0.5,,
CC,38,0.5,,
TC,39,0,,
TR,40,0.5,,
BR,41,0.5,,
BL,42,0,,
CR,43,0,,
BC,44,0.5,,
BL,45,0.5,,
TL,46,0,,
CL,47,0,,
CR,48,0.5,,
TL,49,0,,
BC,50,0,,
CR,51,0,,
BR,52,0,,
BL,53,0,,
CL,54,0,,
CC,55,0,,
TC,56,0,,
BR,57,0.5,,
BL,58,0,,
BL,59,0,,
BL,60,0,,
CC,61,0.5,,
BR,62,0.5,,
TC,63,0.5,,
BR,64,0,,
TC,65,0.5,,
TC,66,1,,
TR,67,1,,
TC,68,1,,
TL,69,0.5,,
CR,70,1,,
CL,71,0.5,,
TR,72,0,,
CL,73,0,,
CR,74,1,,
TC,75,0.5,,
