env,trial #,success,avg,directory:
"left-centre, straight",1,1,0.56,dppo 2026_05_25_12
"left-down, straight",2,0.5,,
"left-up, straight",3,1,,
"left-left, straight",4,0.5,,
"left-right, straight",5,1,,
TL,6,0.5,,
BR,7,0.5,,
TR,8,0.5,,
TR,9,0.5,,
BC,10,0.5,,
TR,11,0.5,,
CL,12,0.5,,
TL,13,0.5,,
TC,14,1,,
BR,15,0.5,,
BL,16,0.5,,
CR,17,0.5,,
CR,18,1,,
CR,19,0.5,,
CL,20,0.5,,
TC,21,0.5,,
CL,22,0.5,,
CR,23,0.5,,
BC,24,0.5,,
BL,25,0.5,,
CC,26,0.5,,
BC,27,0.5,,
TR,28,0.5,,
BC,29,0.5,,
TL,30,0.5,,
CR,31,0.5,,
CC,32,0.5,,
CC,33,0.5,,
TL,34,0.5,,
BR,35,0.5,,
CR,36,0.5,,
BC,37,0.5,,
CC,38,0.5,,
TC,39,1,,
TR,40,0.5,,
BR,41,0.5,,
BL,42,0.5,,
CR,43,0.5,,
BC,44,0.5,,
BL,45,0.5,,
TL,46,0.5,,
CL,47,0.5,,
CR,48,0.5,,
TL,49,0.5,,
BC,50,0.5,,
CR,51,,,
BR,52,,,
BL,53,,,
CL,54,,,
CC,55,,,
TC,56,,,
BR,57,,,
BL,58,,,
BL,59,,,
BL,60,,,
CC,61,,,
BR,62,,,
TC,63,,,
BR,64,,,
TC,65,,,
TC,66,,,
TR,67,,,
TC,68,,,
TL,69,,,
CR,70,,,
CL,71,,,
TR,72,,,
CL,73,,,
CR,74,,,
TC,75,,,
