idx,base wm success old condition,specialist wm success old condition,base wm success new init,specialist wm success new init,,avgs,
0,1,1,1,1,,base wm success old condition,0.9772727273
1,1,1,1,1,,specialist wm success old condition,0.9090909091
2,1,1,1,1,,base wm success new condition,0.9545454545
3,1,1,1,1,,specialist wm success new condition,0.9090909091
4,1,1,1,0.5,,overall base wm success,0.9696969697
5,1,1,1,1,,overall specialist wm success,0.9090909091
6,1,1,1,1,,,
7,1,1,0.5,0.5,,,
8,1,1,1,1,,,
9,1,0.5,1,1,,,
10,1,1,1,1,,,
11,1,1,,,,,
12,1,1,,,,,
13,1,0.5,,,,,
14,1,1,,,,,
15,1,0.5,,,,,
16,1,1,,,,,
17,1,0.5,,,,,
18,1,1,,,,,
19,0.5,1,,,,,
20,1,1,,,,,
21,1,1,,,,,
