idx,base wm success old condition,specialist wm success old condition,base wm success new init,specialist wm success new init,,avgs,
0,0,0,1,1,,base wm success old condition,0.5454545455
1,1,0,0.5,0.5,,specialist wm success old condition,0.06818181818
2,0,0,1,0.5,,base wm success new condition,0.7727272727
3,0,0,1,0.5,,specialist wm success new condition,0.6363636364
4,0,0,1,0.5,,overall base wm success,0.6212121212
5,0,0,1,1,,overall specialist wm success,0.2575757576
6,1,0,0,0,,,
7,0,0,0.5,0.5,,,
8,0,0,1,1,,,
9,0,0,0.5,1,,,
10,1,0.5,1,0.5,,,
11,1,0,,,,,
12,1,0,,,,,
13,1,0,,,,,
14,1,0.5,,,,,
15,1,0,,,,,
16,1,0,,,,,
17,0,0,,,,,
18,1,0,,,,,
19,1,0.5,,,,,
20,1,0,,,,,
21,0,0,,,,,
