ls,trial #,success,avg,first video: dppo outputs -> 2026_05_25_4/1
towel centred,1,0.5,0.2666666667,last video: dppo outputs -> 2026_05_25_4/10
towel low,2,0,,
towel high,3,0.5,,
towel shifted left,4,0.5,,
towel shifted right,5,0.5,,
rotated right,6,0,,
rotated left,7,0.5,,
towel centred,8,0.5,,
towel centred,9,0.5,,
towel centred,10,0.5,,
CLS,11,0,,
BCR,12,0,,
CRR,13,0.5,,
BLS,14,0,,
TLR,15,0,,
BCR,16,0,,
TLS,17,0,,
TLR,18,0,,
BRL,19,0,,
TRS,20,0.5,,
BCL,21,0.5,,
BRL,22,0,,
CCS,23,0,,
CRR,24,0.5,,
BRL,25,0.5,,
TCS,26,0.5,,
TCL,27,0.5,,
CCS,28,0.5,,
TCR,29,0,,
BLS,30,0,,
CLS,31,0.5,,
BRS,32,0,,
CCS,33,0.5,,
TCS,34,0.5,,
BCS,35,0.5,,
CCL,36,0.5,,
CCS,37,0.5,,
TLR,38,0,,
BRL,39,0,,
TCL,40,0.5,,
CCL,41,0.5,,
CLL,42,0,,
CRR,43,0.5,,
TLS,44,0,,
TCS,45,0.5,,
TCL,46,0.5,,
BLS,47,0,,
CCS,48,0.25,,
CCL,49,0,,
BLR,50,0,,
TRS,51,0.5,,
BCS,52,0,,
CCR,53,0.5,,
BRS,54,0.5,,
BRS,55,0.5,,
TLR,56,0,,
CLS,57,0,,
BCL,58,0,,
BCS,59,0.5,,
TCS,60,0.5,,
TCS,61,0.5,,
TCR,62,0,,
TCR,63,0.5,,
BLL,64,0,,
TLR,65,0,,
CCR,66,0.25,,
BRS,67,0,,
TRL,68,0,,
TLR,69,0.5,,
CRS,70,0.5,,
CCR,71,0,,
TLS,72,0,,
CLS,73,0,,
TCR,74,0.5,,
TRR,75,0.5,,
