idx,base wm success old init,specialist wm success old init,base wm success new condition,specialist wm success new condition,,avgs,
0,0.75,0.75,0.75,0.75,,base wm success old condition,0.7291666667
1,1,0.75,0.75,0.75,,specialist wm success old condition,0.75
2,0.75,0.75,0.75,0.75,,base wm success new condition,0.725
3,0.75,0.75,0.75,0.75,,specialist wm success new condition,0.75
4,0.75,0.75,0.75,0.75,,overall base wm success,0.7279411765
5,0,0.5,0.75,0.75,,overall specialist wm success,0.75
6,0.75,0.75,0.75,0.75,,,
7,1,0.75,0.75,0.75,,,
8,0.75,0.75,0.75,0.75,,,
9,0.75,0.75,0.5,0.75,,,
10,1,0.75,,,,,
11,0.75,0.75,,,,,
12,0.75,0.75,,,,,
13,0.75,0.5,,,,,
14,0.75,0.75,,,,,
15,0.75,0.5,,,,,
16,0.75,0.75,,,,,
17,0.75,1,,,,,
18,0.75,1,,,,,
19,0.5,0.75,,,,,
20,0.75,0.75,,,,,
21,0.5,0.75,,,,,
22,0.75,1,,,,,
23,0.75,0.75,,,,,
