idx,base wm success old init,specialist wm success old init,base wm success new condition,specialist wm success new condition,,avgs,
0,0.5,0.5,0.25,0.5,,base wm success old condition,0.4479166667
1,0,0.5,0.5,0.5,,specialist wm success old condition,0.6145833333
2,0.5,0.5,0.5,0.5,,base wm success new condition,0.525
3,0.5,0.75,0.5,1,,specialist wm success new condition,0.525
4,0.5,0.5,0.5,0.5,,overall base wm success,0.4705882353
5,0.5,0.5,0.5,0.5,,overall specialist wm success,0.5882352941
6,0.5,0.5,0.5,0.5,,,
7,0.25,0.5,0.5,0.25,,,
8,0.5,0.5,0.5,0.5,,,
9,0.25,0.5,1,0.5,,,
10,0.5,1,,,,,
11,0.25,0.5,,,,,
12,0.5,0.5,,,,,
13,0.25,0.5,,,,,
14,0.75,0.5,,,,,
15,0.5,0.5,,,,,
16,0.5,0.5,,,,,
17,0.5,0.5,,,,,
18,0.5,1,,,,,
19,0.5,0.5,,,,,
20,0.5,1,,,,,
21,0.5,1,,,,,
22,0.5,1,,,,,
23,0.5,0.5,,,,,
