idx,base wm success old init,specialist wm success old init,base wm success new condition,specialist wm success new condition,,avgs,
0,0,0,0,0,,base wm success old condition,0.09375
1,0,0,0.5,0,,specialist wm success old condition,0.4270833333
2,0.5,1,0,0,,base wm success new condition,0.05
3,0,0,0,0.75,,specialist wm success new condition,0.125
4,0,0.75,0,0,,overall base wm success,0.08088235294
5,0,0,0,0,,overall specialist wm success,0.3382352941
6,0.5,0.75,0,0,,,
7,0,0,0,0,,,
8,0,0,0,0,,,
9,0.5,0,0,0.5,,,
10,0,1,,,,,
11,0,0,,,,,
12,0,0.75,,,,,
13,0,0.25,,,,,
14,0,0.75,,,,,
15,0,0.75,,,,,
16,0,0.75,,,,,
17,0,0.75,,,,,
18,0,0,,,,,
19,0,0,,,,,
20,0.5,0.75,,,,,
21,0,0.75,,,,,
22,0.25,0.5,,,,,
23,0,0.75,,,,,
