pi0_droid,paligemma_vq_droid,paligemma_fast_specialist_droid,pi0_fast_droid,paligemma_fast_droid,paligemma_diffusion_droid,paligemma_binning_droid
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,0.5,1.0,1.0,0.7,0.0
0.35,0.35,0.5,0.5,0.5,0.35,0.0
0.35,0.2,0.05,0.2,0.35,0.2,0.0
,,,1.0,,0.5,
1.0,0.7,0.8,1.0,1.0,0.5,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.75,0.75,0.9,0.75,0.75,0.75,0.0
0.05,0.0,0.75,0.5,0.1,0.05,0.0
0.7,0.0,0.5,0.4,0.35,0.45,0.4
,0.0,,0.0,,,
0.1,,,,,,
0.3,0.0,0.3,0.7,1.0,0.65,0.0
0.03,0.05,0.1,0.3,0.2,0.6,0.0
0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.0,,,0.0,,,
0.3,0.15,0.1,0.4,0.15,0.25,0.0
1.0,0.5,0.25,0.5,1.0,0.0,0.0
0.3,0.1,0.1,0.0,0.5,0.1,0.0
1.0,1.0,1.0,,1.0,,
,1.0,0.2,,,,
0.6,0.7,0.9,0.9,0.95,0.3,0.0
0.0,0.7,0.7,0.75,0.0,0.8,0.0
0.4,0.7,0.3,0.7,0.1,0.9,0.0
0.75,1.0,0.5,0.5,0.6,0.65,0.0
,,,0.0,,,
,,,,,,0.0
0.5,,,,,,
0.9,0.6,0.8,0.0,0.8,0.2,0.0
0.3,1.0,0.3,0.05,1.0,0.3,0.0
0.25,0.2,0.2,0.2,0.6,0.2,0.0
0.05,0.75,0.6,0.0,0.1,0.3,0.0
0.25,0.75,0.6,0.3,0.9,0.5,0.0
,1.0,,,,,0.0
0.8,0.15,0.5,0.5,0.4,0.5,0.0
0.5,0.5,0.5,0.0,0.0,0.0,0.4
,,,,,0.0,
0.25,0.1,0.05,0.0,0.34,0.05,0.0
0.5,0.5,0.5,0.75,0.75,0.5,0.5
,,0.4,,,0.5,
0.15,0.5,0.5,0.5,0.3,0.5,0.0
,,,0.25,,,
0.5,0.75,0.25,1.0,1.0,1.0,0.25
0.75,0.8,0.3,0.8,0.75,0.8,0.75
0.75,0.5,0.5,0.5,0.5,0.4,0.0
0.05,1.0,1.0,0.9,0.05,0.05,0.0
0.75,0.75,0.75,0.25,0.75,0.25,0.0
0.0,0.0,0.5,1.0,0.9,0.07,0.0
0.8,0.4,0.25,0.2,0.1,0.2,0.05
0.55,0.65,0.95,0.6,0.5,0.75,0.0
0.15,0.1,0.3,0.25,0.05,0.1,0.0
0.5,,1.0,,,,
0.5,0.35,0.5,0.5,0.5,0.6,0.0
0.2,0.5,0.2,0.3,0.9,0.2,0.0
0.5,0.0,1.0,0.0,0.0,0.0,0.0
,,,0.0,,,0.0
0.5,0.5,0.0,0.5,0.25,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.2,,,
0.75,0.5,0.5,0.5,0.5,0.5,0.25
0.1,0.1,0.0,0.25,0.0,0.0,0.0
0.0,,,,0.0,,
,,,0.25,,,0.0
0.05,0.3,0.0,0.5,0.5,0.35,0.04
,,,0.5,,,
,,,,,,0.0
,,,,,0.25,
0.5,0.0,0.5,0.0,0.5,0.5,0.0
0.0,0.0,,,1.0,1.0,
1.0,0.5,0.0,0.0,0.5,1.0,0.5
0.3,1.0,0.9,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.25,0.0,0.75,0.0
0.0,0.2,0.85,0.8,0.9,0.45,0.0
0.3,0.5,0.5,0.4,0.4,0.5,0.0
0.15,1.0,1.0,0.2,1.0,1.0,0.0
0.25,1.0,0.75,0.5,0.75,0.5,0.0
0.3,0.5,0.5,0.0,0.95,0.7,0.7
1.0,0.0,0.25,0.0,0.0,0.75,0.0
0.1,0.4,0.4,0.1,0.4,0.0,1.0
0.1,0.6,0.3,0.0,0.5,0.3,0.0
0.0,0.0,0.75,1.0,0.0,0.0,0.0
0.0,1.0,0.33,1.0,0.0,0.0,0.0
0.0,0.0,0.2,0.0,0.0,0.0,0.0
0.25,0.0,0.44,0.25,1.0,0.375,0.0
,,,,0.75,,0.0
0.8,0.3,0.8,0.3,0.1,0.0,0.0
0.9,0.9,1.0,1.0,1.0,1.0,0.0
0.1,0.05,0.0,0.0,1.0,0.05,0.0
0.05,0.05,0.05,0.25,0.55,0.05,0.0
,,,0.25,,0.25,
0.1,0.95,0.2,0.3,1.0,0.05,0.0
0.75,0.75,0.5,0.75,0.5,0.5,0.5
1.0,1.0,1.0,1.0,0.5,1.0,0.0
0.1,0.0,0.5,0.5,0.3,0.3,0.0
0.25,0.0,0.5,0.05,0.8,0.25,0.0
0.2,0.2,0.3,0.6,0.6,0.05,0.0
0.75,0.4,0.0,0.0,0.65,0.0,0.0
0.3,0.4,0.55,1.0,0.4,0.4,0.3
,,,,,0.0,0.0
,,0.0,0.0,,,
1.0,1.0,1.0,1.0,0.75,1.0,0.0
0.1,0.75,0.01,0.3,0.75,0.6,0.0
0.1,0.1,0.65,0.0,0.2,0.15,0.35
0.9,1.0,0.85,1.0,0.2,0.1,0.0
,,,,0.0,,
,,,0.25,,,0.0
,1.0,0.0,1.0,1.0,,
,0.75,,,,,0.0
0.3,0.45,1.0,0.3,0.4,0.1,0.0
0.5,,,,0.25,,
,,1.0,,,0.25,
0.25,0.25,0.25,0.25,0.25,0.25,0.25
0.04,0.5,1.0,1.0,0.4,0.5,0.0
,,,,,1.0,
0.0,1.0,1.0,0.2,1.0,0.3,0.0
0.5,0.0,1.0,0.25,0.75,1.0,0.0
0.02,0.9,0.6,0.9,1.0,1.0,0.0
0.6,0.6,0.4,0.6,1.0,0.8,0.9
0.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.25,0.0,1.0,0.25,0.25,0.0
0.0,0.0,0.15,0.15,0.0,0.2,0.0
1.0,0.0,1.0,1.0,1.0,1.0,0.0
0.0,,,0.0,0.0,,1.0
0.55,0.5,0.45,0.95,0.9,0.5,0.0
,,,,,1.0,
0.0,0.0,0.25,0.0,0.25,0.0,0.0
,0.5,,0.0,,,
1.0,1.0,0.0,0.3,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.5,0.0,0.5,0.5,0.0
0.0,0.75,1.0,0.75,1.0,0.75,0.0
0.0,0.0,0.5,0.8,1.0,0.3,0.0
0.0,,,,0.0,,
0.4,1.0,1.0,0.8,1.0,1.0,0.0
0.5,0.15,0.05,0.35,0.45,0.65,0.05
0.2,1.0,0.15,0.1,0.15,0.15,0.15
,,0.25,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.05,0.05,0.1,0.05,0.05,0.0
,0.75,,,,,
0.45,0.05,0.6,0.05,0.02,0.5,0.02
0.2,0.2,0.2,0.45,0.2,0.2,0.0
1.0,1.0,1.0,1.0,0.9,1.0,0.0
0.4,0.8,1.0,0.7,1.0,0.9,0.4
